pkts,avg,stdev,min,max
1,6442.963,1492.692,4800.786,7887.553
2,7601.971,1257.966,6229.829,8883.823
3,8166.687,682.802,7324.867,8810.509
4,8195.608,712.007,7349.991,8809.620
5,8390.218,644.074,7606.046,8860.793
6,8598.851,584.799,7921.503,8956.715
7,8556.818,650.277,7904.854,8923.122
8,8612.096,567.380,7901.542,8949.035
9,8587.393,596.926,7864.005,8951.849
10,8568.965,637.103,7878.494,8934.208
11,8585.848,593.938,7784.300,8951.106
12,8512.996,705.037,7694.012,8968.749
13,8590.284,580.485,7916.602,8921.677
14,8555.081,638.530,7784.431,8935.147
15,8579.427,630.434,7964.245,8948.115
16,8583.641,608.604,7935.312,8926.442
17,8576.081,618.652,7794.334,8962.591
18,8547.990,626.455,7801.760,8937.233
19,8556.800,634.642,7809.221,8949.989
20,8556.796,629.105,7863.931,8925.125
21,8574.608,600.002,7819.324,8937.555
22,8547.967,671.445,7868.171,8902.335
23,8589.535,611.488,7975.606,8970.641
24,8556.408,613.184,7876.938,8933.213
25,8546.311,623.448,7719.576,8924.540
26,8558.256,637.642,7834.441,8945.105
27,8556.778,647.533,7863.045,8951.737
28,8568.192,632.995,7903.696,8930.214
29,8528.004,660.637,7814.397,8922.597
30,8585.026,606.136,7927.687,8942.917
31,8535.414,637.255,7814.926,8919.073
32,8523.394,655.614,7789.520,8910.190
33,8573.246,613.720,7848.834,8944.592
34,8598.970,591.977,7939.735,8965.552
35,8544.259,627.721,7780.903,8927.357
36,8526.695,658.317,7752.882,8928.362
37,8587.262,605.927,7871.202,8938.284
38,8557.808,653.075,7813.582,8937.444
39,8544.818,637.751,7764.101,8939.975
40,8529.813,676.597,7773.573,8938.425
41,8619.897,582.895,7986.430,8968.832
42,8571.149,604.428,7892.463,8951.453
43,8562.292,634.165,7879.652,8943.651
44,8550.913,641.436,7829.369,8950.318
45,8543.755,651.045,7853.677,8927.546
46,8528.996,670.224,7749.489,8945.345
47,8582.002,593.932,7801.931,8935.703
48,8538.789,673.609,7836.438,8943.256
49,8538.141,643.558,7750.450,8925.872
50,8522.100,649.349,7754.155,8908.128
51,8566.395,636.867,7790.332,8958.534
52,8555.557,626.099,7826.312,8951.584
53,8592.475,584.521,7961.063,8937.117
54,8511.985,676.151,7685.353,8940.448
55,8575.512,621.841,7919.270,8936.874
56,8586.051,570.262,7936.166,8930.766
57,8566.491,633.545,7848.067,8940.366
58,8601.568,614.270,7998.896,8952.085
59,8525.131,649.849,7751.970,8915.373
60,8534.277,671.178,7815.467,8943.758
61,8532.107,628.177,7829.306,8929.986
62,8535.388,633.617,7726.732,8927.504
63,8563.671,615.977,7825.599,8926.896
64,8558.328,626.067,7850.855,8938.577
65,8549.352,654.374,7939.862,8925.276
66,8534.169,639.033,7792.990,8919.915
67,8528.272,683.346,7818.572,8938.290
68,8574.157,589.653,7880.389,8930.376
69,8567.595,650.546,7917.504,8936.717
70,8537.867,639.149,7780.918,8932.527
71,8583.027,594.721,7855.647,8933.077
72,8588.925,608.657,7851.693,8949.419
73,8544.007,647.813,7700.794,8952.578
74,8522.526,682.762,7776.761,8959.870
75,8555.933,639.242,7831.480,8952.122
76,8592.071,573.077,7915.013,8948.609
77,8543.685,636.734,7813.678,8918.993
78,8574.735,611.468,7864.469,8948.207
79,8526.495,658.332,7775.722,8912.077
80,8575.406,606.313,7940.619,8919.406
81,8560.984,629.472,7843.278,8945.265
82,8556.669,619.331,7737.067,8938.804
83,8549.965,627.537,7787.630,8940.939
84,8565.493,637.298,7804.261,8960.469
85,8547.705,609.400,7867.511,8912.564
86,8571.477,617.714,7841.822,8944.546
87,8554.244,620.218,7790.887,8956.376
88,8545.711,672.457,7866.749,8954.329
89,8585.418,616.926,7964.390,8924.309
90,8566.200,613.288,7776.724,8947.900
91,8548.386,634.460,7753.546,8939.063
92,8598.742,605.794,7989.356,8943.285
93,8571.037,614.092,7791.014,8950.330
94,8584.967,610.397,7880.695,8954.329
95,8509.387,638.700,7681.141,8923.934
96,8560.841,648.613,7858.493,8939.225
97,8583.334,617.901,7835.486,8951.922
98,8567.701,593.574,7890.394,8915.777
99,8541.761,634.390,7799.108,8921.379
100,8619.732,571.661,8010.913,8957.898
