mtu,RUSuPb-doubling,RUSuPb
100,52.6378,52.428
110,59.9776,60.3974
120,66.6886,67.5276
130,74.8674,73.8182
140,81.9978,81.1586
150,88.0794,88.499
160,96.2576,96.2584
170,102.5488,104.0178
180,110.9382,109.6796
190,118.0676,118.6978
200,125.6176,125.4086
210,132.119,131.4902
220,140.2984,140.2982
230,146.7992,147.0088
240,154.7684,153.9294
250,162.318,161.2684
260,167.7708,169.0288
270,171.1262,176.1594
280,182.6602,181.6116
290,190.4194,190.2102
300,197.7584,197.3402
310,206.9872,202.5822
320,212.649,209.5038
330,218.7308,218.3088
340,223.7638,222.0864
350,234.4592,231.7332
360,243.4772,236.7666
370,245.7836,244.5254
380,253.9628,252.9144
390,265.4952,261.7218
400,270.5264,269.691
410,276.1926,277.6602
420,286.0472,285.2104
430,292.131,293.8084
440,300.098,298.422
450,308.0666,308.9064
460,314.7796,313.7304
470,321.071,318.5548
480,327.5724,326.1022
490,334.4928,331.9762
500,337.2188,335.7512
510,347.4952,346.6562
520,356.3022,354.2038
530,361.1264,364.4818
540,370.7734,366.7888
550,376.0156,375.3872
560,384.1948,382.0978
570,392.1638,392.1642
580,397.6166,396.357
590,402.4376,386.9214
600,408.9396,388.599
610,421.733,392.7892
620,425.2988,397.8242
630,435.575,408.312
640,442.0736,418.1686
650,441.6562,428.8638
660,449.206,433.2674
670,456.1266,451.0934
680,467.661,459.0626
690,472.694,464.0956
700,482.3404,467.6608
710,492.4072,478.3524
720,498.0694,480.8728
730,498.489,495.3374
740,500.5846,502.2636
750,513.375,509.6034
760,520.5088,512.33
770,524.2836,520.2992
780,537.4926,519.0408
790,540.0118,529.3168
800,553.8536,532.043
810,560.9832,540.2218
820,568.7428,545.6744
830,560.3542,550.0784
840,581.5338,547.9812
850,585.7298,558.6766
860,597.054,570.84
870,597.2638,569.1624
880,602.2968,578.8088
890,614.8738,574.8246
900,621.5904,590.7626
910,624.317,597.469
920,632.2858,604.1834
930,639.8354,609.8466
940,646.127,615.0896
950,657.0306,620.9614
960,664.3664,627.043
970,674.0188,635.4276
980,683.0348,639.8356
990,679.4716,658.0806
1000,697.9262,663.7428
1010,694.57,672.1318
1020,707.573,671.0828
1030,717.2198,676.7452
1040,724.9792,682.8268
1050,722.6726,692.264
1060,726.6568,689.328
1070,742.5952,711.5574
1080,748.0358,719.1074
1090,757.4848,729.3796
1100,761.4642,728.119
1110,774.891,750.1446
1120,785.3768,763.9858
1130,787.893,767.761
1140,780.3436,778.456
1150,792.9254,787.8932
1160,806.5574,798.7986
1170,818.2904,803.2024
1180,809.284,800.4764
1190,822.2862,823.1242
1200,839.8984,822.4956
1210,846.194,827.3174
1220,851.8558,838.0116
1230,856.2598,852.6948
1240,861.293,843.4674
1250,875.5498,855.6308
1260,884.3608,867.794
1270,885.4002,877.0214
1280,896.315,878.0702
1290,897.154,886.878
1300,904.074,889.8048
1310,914.351,908.898
1320,912.0446,914.5512
1330,925.045,921.2682
1340,910.993,925.8848
1350,937.415,928.1918
1360,933.8512,941.4036
1370,949.3612,945.598
1380,960.4834,955.2444
1390,963.2024,959.6486
1400,976.6318,959.02
1410,978.1034,962.3696
1420,1000.123,967.1982
1430,987.749,971.8118
1440,1008.9146,970.344
1450,1009.9796,953.1474
1460,1017.5226,980.188
1470,1025.7056,971.3858
1480,1025.2682,970.1346
1490,1036.6118,977.2644
1500,1035.3564,989.8472
1510,1050.6644,984.185
1520,1057.375,968.0372
1530,1073.9424,1049.4062
1540,1070.5872,1053.165
1550,1074.9906,1072.2646
1560,1086.5256,1076.4588
1570,1093.0172,1079.8118
1580,1086.9446,1071.8382
1590,1098.8976,1089.0416
1600,1106.4478,1091.1386
1610,1104.1414,1090.7192
1620,1098.6816,1081.2838
1630,1115.8796,1088.832
1640,1104.5568,1003.8996
1650,1132.4448,1030.112
1660,1129.0964,1003.2644
1670,1143.557,1046.884
1680,1148.6006,1054.0188
1690,1163.8988,1064.0858
1700,1172.2978,1059.8908
1710,1181.7278,1081.6944
1720,1166.426,1088.8214
1730,1187.607,1114.4154
1740,1202.9148,1100.7854
1750,1208.1588,1113.9974
1760,1215.9188,1116.4998
1770,1211.7238,1136.2274
1780,1220.3222,1148.3906
1790,1226.1944,1150.6976
1800,1243.8104,1151.956
1810,1239.8226,1160.7538
1820,1244.6492,1165.3772
1830,1254.904,1152.7902
1840,1265.4102,1167.4746
1850,1265.6148,1163.2804
1860,1277.9938,1186.9774
1870,1288.06,1160.3446
1880,1273.7948,1163.9094
1890,1288.6888,1170.618
1900,1308.8092,1183.413
1910,1288.0498,1185.7184
1920,1307.763,1171.2354
1930,1315.9462,1194.5278
1940,1313.4348,1170.8302
1950,1323.497,1202.4774
1960,1342.9988,1216.1236
1970,1327.2754,1232.4834
1980,1346.569,1204.3846
1990,1351.1846,1248.4132
2000,1363.347,1250.4978
2010,1357.0482,1247.7854
2020,1379.6898,1222.8386
2030,1385.7844,1274.2186
2040,1401.3012,1241.285
2050,1384.5274,1242.9718
2060,1415.9802,1228.0816
2070,1421.2232,1268.556
2080,1437.3654,1270.216
2090,1432.1146,1273.7992
2100,1434.6474,1207.3204
2110,1449.9586,1265.202
2120,1463.1684,1327.6956
2130,1462.7512,1343.2026
2140,1419.3402,1316.7904
2150,1473.0268,1352.6514
2160,1496.5142,1379.7048
2170,1488.1262,1369.2068
2180,1511.195,1340.6976
2190,1490.6414,1366.9032
2200,1515.383,1383.0382
2210,1504.066,1399.8168
2220,1519.5838,1378.0226
2230,1533.8244,1419.5502
2240,1529.221,1418.7112
2250,1537.829,1434.0198
2260,1547.4758,1422.9054
2270,1554.6054,1443.2334
2280,1572.6358,1448.6888
2290,1557.1222,1454.521
2300,1572.6312,1433.1786
2310,1577.2342,1481.6248
2320,1601.1252,1456.4592
2330,1592.1282,1487.2876
2340,1609.96,1460.6538
2350,1600.7124,1475.9606
2360,1612.0666,1498.3834
2370,1624.2158,1496.7244
2380,1613.5258,1494.6154
2390,1613.1156,1521.4704
2400,1625.0694,1526.7136
2410,1634.4858,1545.7836
2420,1647.4942,1540.3448
2430,1661.5536,1554.8152
2440,1661.5454,1568.656
2450,1663.4186,1547.8946
2460,1678.3364,1565.0782
2470,1640.5786,1592.559
2480,1675.8116,1561.3086
2490,1687.5576,1599.4488
2500,1694.2602,1593.3888
2510,1705.809,1617.3032
2520,1693.8544,1613.3252
2530,1706.4374,1626.537
2540,1724.8776,1620.8748
2550,1720.054,1625.8912
2560,1718.175,1648.1378
2570,1730.1164,1607.4408
2580,1731.1816,1626.951
2590,1752.9944,1621.245
2600,1742.2988,1632.8284
2610,1762.4236,1635.1278
2620,1775.2164,1646.0402
2630,1781.9346,1648.3282
2640,1793.8392,1671.8196
2650,1785.0762,1649.9884
2660,1780.2572,1699.7132
2670,1807.73,1678.324
2680,1807.5132,1664.7036
2690,1829.3318,1687.5486
2700,1813.8128,1706.8412
2710,1838.3476,1682.9378
2720,1835.1628,1712.2622
2730,1817.772,1696.3718
2740,1839.381,1729.5054
2750,1857.4166,1695.1142
2760,1869.9768,1703.2896
2770,1849.6574,1722.3652
2780,1899.1624,1725.7316
2790,1896.858,1754.4212
2800,1905.8754,1753.413
2810,1879.8666,1733.7012
2820,1921.549,1742.509
2830,1935.2352,1783.59
2840,1949.8796,1762.4316
2850,1923.0586,1786.5402
2860,1952.6384,1763.8972
2870,1927.4706,1780.4668
2880,1964.7802,1818.3492
2890,1933.5466,1810.8716
2900,1947.6062,1836.2504
2910,1927.201,1837.0742
2920,1978.8346,1852.7864
2930,1967.5312,1870.4166
2940,1987.2426,1842.7352
2950,1996.8912,1869.7876
2960,1999.7984,1892.4242
2970,2034.8426,1908.5834
2980,2021.2002,1860.1422
2990,2006.7294,1955.1588
3000,2024.3576,1923.7012
3010,2017.6418,1957.8726
3020,2054.9814,1970.8862
3030,2068.8222,1988.9148
3040,2055.4014,2004.2314
3050,2071.916,2001.7098
3060,2077.6326,1892.8676
3070,2086.6048,1991.013
3080,2066.9302,1986.6042
3090,2103.35,1975.081
3100,2110.765,1949.04
3110,2108.6616,1951.9772
3120,2097.3226,2013.4588
3130,2129.6248,2020.7924
3140,2146.8264,1943.8086
3150,2115.5736,2029.5966
3160,2128.3632,2034.2194
3170,2141.3654,2055.191
3180,2155.0152,2027.0602
3190,2145.965,2047.7904
3200,2153.937,2073.8548
3210,2152.4986,2080.7762
3220,2159.1798,2069.8546
3230,2174.2882,2093.7568
3240,2151.869,2096.6884
3250,2169.6948,2080.7662
3260,2157.0976,2071.5272
3270,2209.0844,2102.5868
3280,2219.3764,2118.315
3290,2208.051,2124.8896
3300,2230.3026,2089.5654
3310,2213.4992,2125.6548
3320,2206.1852,2112.4322
3330,2203.4406,2140.0578
3340,2237.4324,2146.826
3350,2218.131,2123.3364
3360,2262.5978,2154.5202
3370,2272.8464,2183.7466
3380,2281.4724,2152.0402
3390,2283.1414,2174.7138
3400,2272.6648,2178.2652
3410,2263.6246,2188.7186
3420,2287.554,2203.2412
3430,2273.711,2186.8684
3440,2315.237,2212.8956
3450,2295.9428,2169.6946
3460,2295.5232,2207.6532
3470,2347.7164,2219.5746
3480,2309.7766,2249.8084
3490,2327.8188,2216.041
3500,2348.5808,2251.2376
3510,2340.4018,2228.3336
3520,2349.8008,2213.5248
3530,2350.0042,2216.0414
3540,2358.0126,2266.7922
3550,2355.5008,2236.7604
3560,2372.4876,2263.4068
3570,2387.7788,2252.952
3580,2404.784,2283.5592
3590,2378.7792,2252.9296
3600,2420.253,2295.3138
3610,2396.8142,2289.231
3620,2425.2946,2295.1052
3630,2420.9322,2335.369
3640,2429.0914,2303.073
3650,2398.896,2298.6552
3660,2399.7506,2283.779
3670,2367.2296,2309.7834
3680,2410.8624,2313.121
3690,2402.88,2297.2004
3700,2385.4904,2309.574
3710,2405.413,2309.974
3720,2424.4838,2319.8316
3730,2416.682,2324.2542
3740,2429.0906,2333.0418
3750,2423.4284,2365.927
3760,2459.9376,2340.5816
3770,2442.3218,2362.8408
3780,2459.7134,2364.2384
3790,2435.1574,2381.2634
3800,2462.0322,2373.3268
3810,2484.8942,2377.0806
3820,2501.441,2376.0536
3830,2499.5484,2404.9934
3840,2523.2696,2411.2272
3850,2519.474,2401.2186
3860,2493.0628,2427.6148
3870,2536.4842,2428.2714
3880,2540.388,2438.5472
3890,2530.5966,2439.7688
3900,2515.7222,2393.8492
3910,2525.159,2425.5236
3920,2558.4734,2382.117
3930,2498.896,2453.4374
3940,2556.8208,2442.5326
3950,2550.8932,2405.3676
3960,2580.7248,2442.0824
3970,2574.119,2450.8844
3980,2526.621,2464.32
3990,2585.3344,2466.8584
4000,2586.8042,2492.0236
4010,2609.6514,2464.5202
4020,2553.6684,2510.899
4030,2615.7478,2495.3794
4040,2603.527,2499.574
4050,2612.3658,2517.811
4060,2621.4058,2479.0016
4070,2673.173,2518.2056
4080,2649.7,2514.0038
4090,2631.4842,2521.5842
4100,2673.137,2515.922
4110,2632.1124,2551.1476
4120,2671.0774,2516.753
4130,2671.721,2505.8096
4140,2685.1734,2568.1504
4150,2713.0392,2548.996
4160,2666.2772,2582.6228
4170,2678.637,2581.3594
4180,2679.4948,2574.0218
4190,2714.8714,2573.3952
4200,2705.6696,2554.9378
4210,2780.7558,2583.454
4220,2727.8574,2554.5184
4230,2767.1468,2591.8432
4240,2785.1998,2617.782
4250,2751.595,2625.5224
4260,2752.8884,2617.191
4270,2762.7602,2618.032
