mtu,vanilla,R,RU,RUS,RUSu,RUSuP,RUSuPb
100,0.018874,0.0348126,0.0358608,0.0385872,0.0404744,0.0400548,0.0526378
110,0.018874,0.0387968,0.0396354,0.042991,0.045088,0.0448784,0.0599776
120,0.018874,0.0425714,0.04404,0.0473948,0.0497016,0.0499114,0.0666886
130,0.0197132,0.0459272,0.0471852,0.0515896,0.054525,0.054525,0.0748674
140,0.019923,0.0490724,0.05138,0.0562034,0.0589292,0.0595582,0.0819978
150,0.019923,0.052638,0.0549448,0.0603974,0.0631234,0.0639624,0.0880794
160,0.019923,0.0562028,0.058719,0.065011,0.0687858,0.0683666,0.0962576
170,0.019923,0.0601878,0.0627042,0.0689954,0.0733992,0.0733992,0.1025488
180,0.019923,0.0637524,0.0660594,0.073399,0.0780134,0.0780128,0.1109382
190,0.020971,0.0675276,0.0700444,0.0780132,0.0822068,0.0822074,0.1180676
200,0.020971,0.0710924,0.0738188,0.0826268,0.08766,0.0878694,0.1256176
210,0.020971,0.0746578,0.0780136,0.0861918,0.0910152,0.092064,0.132119
220,0.020971,0.0786422,0.0811586,0.0908056,0.096468,0.0954196,0.1402984
230,0.020971,0.0815784,0.0851436,0.094371,0.1019206,0.1006616,0.1467992
240,0.02202,0.0857728,0.0893378,0.099194,0.1063242,0.1063244,0.1547684
250,0.02202,0.088289,0.0926928,0.1029692,0.1113576,0.110519,0.162318
260,0.02202,0.092273,0.0964682,0.1071632,0.1157618,0.1151326,0.1677708
270,0.02202,0.0960488,0.100662,0.111567,0.1201644,0.1201654,0.1711262
280,0.02202,0.0996134,0.1046466,0.1161812,0.1254084,0.1243598,0.1826602
290,0.02202,0.103179,0.1071632,0.1207948,0.1287634,0.1293932,0.1904194
300,0.023068,0.107373,0.1115668,0.1254086,0.1342162,0.1348456,0.1977584
310,0.023068,0.1090506,0.116181,0.1285542,0.1390396,0.1371514,0.2069872
320,0.023068,0.1140838,0.1182782,0.1329582,0.1440732,0.142605,0.212649
330,0.023068,0.1176482,0.122682,0.1388304,0.1480578,0.1480572,0.2187308
340,0.023068,0.120585,0.127296,0.142815,0.1507836,0.1535102,0.2237638
350,0.024117,0.1237308,0.1302318,0.1459606,0.1566558,0.1564462,0.2344592
360,0.024117,0.1272956,0.1350552,0.1501546,0.16085,0.1618986,0.2434772
370,0.024117,0.1319096,0.1379912,0.15351,0.1669318,0.1646248,0.2457836
380,0.024117,0.1348454,0.142815,0.1598014,0.172174,0.170286,0.2539628
390,0.024117,0.1390394,0.1451216,0.1648346,0.1757398,0.17553,0.2654952
400,0.0243268,0.141766,0.148477,0.1688184,0.1799336,0.180563,0.2705264
410,0.025165,0.1453314,0.1520418,0.1719648,0.1832894,0.1839188,0.2761926
420,0.025165,0.1482676,0.1560268,0.1778368,0.1895806,0.1885324,0.2860472
430,0.025165,0.1526712,0.1614792,0.1809826,0.1933554,0.195243,0.292131
440,0.025165,0.158543,0.1637858,0.1839186,0.1994374,0.1992276,0.300098
450,0.025165,0.159382,0.169029,0.188742,0.2044698,0.201954,0.3080666
460,0.0260042,0.1642054,0.1713356,0.1923072,0.2061482,0.2074064,0.3147796
470,0.026214,0.1663028,0.1744814,0.1956628,0.2130664,0.2124396,0.321071
480,0.026214,0.1709162,0.1799342,0.201325,0.2172626,0.2174722,0.3275724
490,0.026214,0.1725942,0.1832894,0.2055192,0.221038,0.2237642,0.3344928
500,0.026214,0.1761586,0.1851768,0.2124396,0.2250226,0.2269098,0.3372188
510,0.026214,0.1805632,0.1906292,0.2147464,0.231733,0.2329912,0.3474952
520,0.027263,0.1811922,0.1950332,0.218941,0.235927,0.237605,0.3563022
530,0.027263,0.1849672,0.1983888,0.2246028,0.2417992,0.2409604,0.3611264
540,0.027263,0.1939848,0.2017436,0.2241836,0.2403312,0.2462036,0.3707734
550,0.027263,0.1944044,0.206358,0.2298456,0.2453646,0.248087,0.3760156
560,0.027263,0.196082,0.2103426,0.2363468,0.2554306,0.2541722,0.3841948
570,0.0281014,0.201115,0.2103426,0.2386536,0.2589962,0.2592038,0.3921638
580,0.028311,0.2065668,0.2170534,0.2441064,0.2638194,0.2627708,0.3976166
590,0.028311,0.209294,0.2183116,0.2472518,0.2661264,0.269691,0.4024376
600,0.028311,0.2120202,0.2235544,0.2516558,0.2728368,0.2724176,0.4089396
610,0.028311,0.216424,0.226071,0.2558502,0.2782886,0.2784992,0.421733
620,0.028311,0.2204088,0.2325716,0.261932,0.2797576,0.2805964,0.4252988
630,0.02936,0.2237634,0.2346692,0.2673844,0.28542,0.2875172,0.435575
640,0.02936,0.2248128,0.2352982,0.2726274,0.288146,0.2908694,0.4420736
650,0.02936,0.2308944,0.2424282,0.273886,0.2931794,0.2944364,0.4416562
660,0.02936,0.2332004,0.2455742,0.278499,0.3003098,0.2998904,0.449206
670,0.02936,0.2359268,0.2483006,0.2814354,0.3049234,0.3045038,0.4561266
