mtu,baseline,scout,trend
100,2869.597,2868.838,9432.955201
110,3020.801,3020.314,9432.956221
120,3174.298,3172.629,9432.957241
130,3326.802,3326.108,9432.958261
140,3479.083,3478.154,9432.959281
150,3629.391,3630.051,9432.960301
160,3781.134,3780.82,9432.961321
170,3932.432,3931.956,9432.962341
180,4083.457,4081.52,9432.963361
190,4231.721,4231.307,9432.964381
200,4379.887,4380.874,9432.965401
210,4529.047,4530.14,9432.966421
220,4685.503,4683.778,9432.967441
230,4844.812,4843.28,9432.968461
240,5011.486,5011.193,9432.969481
250,5174.361,5174.63,9432.970501
260,5338.289,5336.903,9432.971521
270,5504.667,5498.782,9432.972541
280,5668.239,5663.192,9432.973561
290,5825.873,5820.77,9432.974581
300,5986.016,5979.376,9432.975601
310,6139.233,6133.77,9432.976621
320,6290.996,6285.344,9432.977641
330,6438.803,6433.406,9432.978661
340,6582.403,6576.85,9432.979681
350,6721.777,6715.756,9432.980701
360,6857.386,6851.082,9432.981721
370,6990.183,6984.495,9432.982741
380,7120.567,7114.955,9432.983761
390,7248.417,7241.666,9432.984781
400,7370.355,7363.853,9432.985801
410,7488.767,7479.448,9432.986821
420,7601.695,7593.593,9432.987841
430,7711.985,7702.921,9432.988861
440,7818.532,7809.419,9432.989881
450,7922.407,7911.628,9432.990901
460,8020.678,8010.461,9432.991921
470,8114.709,8104.231,9432.992941
480,8203.091,8194.18,9432.993961
490,8289.549,8278.991,9432.994981
500,8372.164,8360.142,9432.996001
510,8449.414,8437.044,9432.997021
520,8514.819,8505.165,9432.998041
530,8571.769,8562.066,9432.999061
540,8616.221,8605.438,9433.000081
550,8659.15,8647.727,9433.001101
560,8695.275,8685.171,9433.002121
570,8724.741,8719.224,9433.003141
580,8750.828,8744.766,9433.004161
590,8777.211,8771.208,9433.005181
600,8797.329,8792.492,9433.006201
610,8819.557,8813.754,9433.007221
620,8839.731,8834.317,9433.008241
630,8859.699,8853.823,9433.009261
640,8878.359,8872.482,9433.010281
650,8896.763,8891.877,9433.011301
660,8914.898,8909.883,9433.012321
670,8932.379,8927.101,9433.013341
680,8948.426,8943.333,9433.014361
690,8962.615,8958.157,9433.015381
700,8976.272,8971.79,9433.016401
710,8988.855,8987.363,9433.017421
720,9000.953,8999.344,9433.018441
730,9012.622,9011.12,9433.019461
740,9024.177,9022.615,9433.020481
750,9035.511,9033.933,9433.021501
760,9046.461,9044.923,9433.022521
770,9056.87,9055.588,9433.023541
780,9067.421,9065.957,9433.024561
790,9077.719,9076.062,9433.025581
800,9087.597,9086.144,9433.026601
810,9097.387,9096.206,9433.027621
820,9106.963,9105.72,9433.028641
830,9116.16,9115.111,9433.029661
840,9125.472,9124.332,9433.030681
850,9134.642,9133.584,9433.031701
860,9143.52,9142.595,9433.032721
870,9152.404,9151.342,9433.033741
880,9160.963,9160.072,9433.034761
890,9169.233,9168.337,9433.035781
900,9177.354,9176.49,9433.036801
910,9185.38,9184.378,9433.037821
920,9193.339,9192.342,9433.038841
930,9201.014,9200.119,9433.039861
940,9208.486,9207.965,9433.040881
950,9216.013,9215.331,9433.041901
960,9223.469,9222.658,9433.042921
970,9230.817,9229.825,9433.043941
980,9237.985,9236.862,9433.044961
990,9245.103,9243.675,9433.045981
1000,9251.859,9250.438,9433.047001
1010,9258.676,9257.319,9433.048021
