mtu,baseline,unopt,R,RU,RUS,RUSB,sigRUS
100,0.543460,0.025371,0.054937,0.054999,0.057872,0.086524,0
110,0.647903,0.039649,0.056718,0.058478,0.069319,0.104395,0
120,0.711830,0.025371,0.066258,0.065274,0.072674,0.114776,0.033863
130,0.763388,0.025371,0.069508,0.077171,0.089070,0.128857,0.0338629
140,0.885760,0.025371,0.076218,0.080485,0.088158,0.139181,0.0338627
150,0.903975,0.025371,0.088150,0.081428,0.099208,0.174771,0.0338636
160,1.059735,0.025371,0.091608,0.093316,0.103528,0.172909,0.0338635
170,1.277631,0.025371,0.092845,0.101799,0.114620,0.190594,0.0338632
180,1.377833,0.025371,0.100079,0.105992,0.116266,0.203999,0.0338631
190,1.584076,0.025371,0.105320,0.106914,0.133377,0.202999,0.0347013
200,1.618317,0.025371,0.117209,0.124832,0.131635,0.233272,0.0338631
210,1.748750,0.025371,0.115383,0.126518,0.148735,0.240562,0.0340729
220,1.902418,0.025371,0.127316,0.129067,0.158157,0.269192,0.0340731
230,2.199311,0.025371,0.118783,0.145253,0.161652,0.268088,0.034073
240,2.523914,0.025371,0.137696,0.145705,0.177932,0.290704,0.0340723
250,2.758822,0.025371,0.149520,0.153009,0.197222,0.296391,0.0340733
260,2.934106,0.025371,0.156252,0.164040,0.186968,0.329792,0.0340733
270,3.076078,0.025371,0.171704,0.181980,0.174526,0.290840,0.0340729
280,3.213021,0.025371,0.170049,0.172616,0.213984,0.338005,0.0340731
290,3.330921,0.025371,0.187237,0.181204,0.222088,0.370667,0.034072
300,3.481066,0.025371,0.183384,0.193300,0.229448,0.340448,0.0340731
310,3.608115,0.025371,0.203553,0.190931,0.241611,0.363273,0.0340731
320,3.744764,0.028726,0.177031,0.201512,0.251841,0.415529,0.0340731
330,3.877282,0.033758,0.213094,0.207538,0.236756,0.428241,0.0340728
340,4.004057,0.033758,0.205950,0.224815,0.249925,0.422799,0.0340726
350,4.138341,0.033758,0.220617,0.215390,0.259525,0.463809,0.0340729
360,4.268272,0.033758,0.221733,0.217729,0.260376,0.474929,0.0340729
370,4.399730,0.033758,0.209783,0.232374,0.291405,0.463859,0.034073
380,4.506367,0.033758,0.245861,0.218989,0.291052,0.502977,0.034073
390,4.641887,0.033758,0.249490,0.259349,0.261157,0.513394,0.0340723
400,4.783787,0.033758,0.245425,0.242755,0.307216,0.509525,0.0340731
410,4.909746,0.033758,0.227831,0.243015,0.303549,0.523601,0.034073
420,5.051597,0.033758,0.284844,0.275034,0.316485,0.524362,0.0340732
430,5.191081,0.033758,0.267376,0.286426,0.306997,0.574810,0.0340728
440,5.296063,0.033758,0.258616,0.272550,0.335663,0.564992,0.0340722
