mtu,baseline,scout
100,537.755,572.879
110,539.538,568.492
120,544.96,568.798
130,552.095,565.599
140,571.342,573.921
150,574.951,576.323
160,575.785,578.73
170,582.508,583.04
180,581.312,584.253
190,577.495,579.745
200,583.213,571.626
210,586.725,570.623
220,598.143,562.06
230,598.425,564.179
240,604.234,566.99
250,599.025,562.082
260,604.346,566.887
270,602.556,567.986
280,589.218,573.465
290,590.62,565.552
300,592.42,565.956
310,595.13,574.936
320,606.439,584.438
330,622.366,593.658
340,631.473,598.352
350,636.447,608.806
360,646.483,622.753
370,660.374,636.545
380,665.588,651.417
390,679.682,657.548
400,695.286,666.741
410,700.614,676.446
420,713.043,687.779
430,718.448,697.508
440,719.635,703.101
450,729.385,712.758
460,741.096,722.828
470,751.117,732.751
480,763.106,743.067
490,772.68,753.501
500,782.793,768.113
510,793.095,783.322
520,794.522,798.073
530,800.267,813.303
540,810.579,825.204
550,825.88,840.897
560,832.059,847.491
570,848.834,857.578
580,863.743,868.147
590,874.787,887.583
600,885.36,897.957
610,899.699,899.719
620,900.942,900.962
630,902.438,902.457
640,904.131,904.239
650,905.39,905.504
660,906.851,906.944
670,908.406,908.496
680,909.727,909.874
690,910.852,910.96
700,912.065,912.175
710,913.282,913.414
720,914.485,914.619
730,915.597,915.824
740,916.518,916.728
750,917.723,917.929
760,918.942,919.118
770,919.843,920.014
780,920.789,920.927
790,921.98,922.121
800,923.074,923.129
810,924.02,924.05
820,924.889,924.972
830,925.895,925.876
840,927.078,927.018
850,927.901,927.742
860,928.547,928.377
870,929.75,929.58
880,930.707,930.561
890,931.257,931.143
900,932.019,931.92
910,932.909,932.781
920,933.818,933.687
930,934.64,934.514
940,935.387,935.157
950,936.281,936.046
960,936.929,936.737
970,937.529,937.34
980,938.131,937.942
990,938.849,938.714
1000,939.482,939.44
1010,940.079,940.023
1020,940.706,940.652
1030,941.489,941.313
1040,942.415,942.255
1050,942.996,942.834
1060,943.478,943.141
1070,944.399,944.086
1080,945.018,944.72
1090,945.619,945.174
1100,946.253,945.798
1110,946.845,946.417
1120,947.476,947.028
1130,948.085,947.649
1140,948.44,948.051
1150,949.05,948.688
1160,949.666,949.291
1170,950.021,949.652
1180,950.307,949.933
1190,950.96,950.584
1200,951.43,951.076
1210,951.738,951.402
1220,952.003,951.682
1230,952.392,952.108
1240,952.705,952.429
1250,953.016,952.726
1260,953.315,953.01
1270,953.622,953.339
1280,953.906,953.654
1290,954.203,953.963
1300,954.476,954.181
1310,954.772,954.496
1320,955.063,954.795
1330,955.183,955.049
1340,955.175,955.041
1350,955.467,955.362
1360,955.597,955.643
1370,955.617,955.631
1380,955.596,955.611
1390,955.65,955.759
1400,955.661,955.77
1410,955.645,955.79
1420,955.642,955.753
1430,955.644,955.734
1440,955.649,955.745
1450,955.662,955.756
1460,955.643,955.769
1470,955.661,955.748
1480,955.664,955.768
1490,955.648,955.758
1500,955.603,955.735
1510,955.61,955.769
1520,955.633,955.79
1530,955.651,955.792
1540,955.648,955.783
1550,955.619,955.785
1560,955.622,955.763
1570,955.63,955.741
1580,955.678,955.721
1590,955.707,955.692
1600,955.758,955.668
1610,955.768,955.676
1620,955.769,955.672
1630,955.769,955.673
1640,955.773,955.656
1650,955.801,955.672
1660,955.754,955.689
