mtu,sigRUS-esorics,sigRUS-usenix
100,0,27.263
110,0,28.311
120,33.863,28.311
130,33.8629,29.36
140,33.8627,28.311
150,33.8636,28.311
160,33.8635,27.263
170,33.8632,28.311
180,33.8631,28.311
190,34.7013,28.311
200,33.8631,28.311
210,34.0729,28.311
220,34.0731,27.263
230,34.073,28.311
240,34.0723,28.311
250,34.0733,28.311
260,34.0733,28.311
270,34.0729,27.263
280,34.0731,29.36
290,34.072,28.311
300,34.0731,27.263
310,34.0731,28.311
320,34.0731,28.311
330,34.0728,28.311
340,34.0726,28.311
350,34.0729,28.311
360,34.0729,28.311
370,34.073,28.311
380,34.073,28.311
390,34.0723,27.263
400,34.0731,28.311
410,34.073,28.311
420,34.0732,28.311
430,34.0728,28.311
440,34.0722,28.311
450,34.0729,28.311
460,34.0733,28.311
470,34.0729,28.311
480,34.0729,28.311
490,34.0718,28.311
500,34.0729,28.311
510,34.0727,28.311
520,34.073,27.263
530,34.0731,28.311
540,34.0724,40.894
550,34.073,61.865
560,34.0731,62.914
570,97.2278,75.497
580,119.4956,85.982
590,140.5653,87.031
600,140.6417,88.079
610,141.9834,88.079
620,141.7556,89.128
630,145.1905,89.128
640,144.5277,91.225
650,146.9947,92.273
660,147.907,93.322
670,149.962,94.371
680,150.8644,103.808
690,149.4865,96.468
700,153.0859,95.42
710,153.0131,98.565
720,155.4356,97.517
730,155.213,110.1
740,157.6135,101.711
750,159.7773,100.662
760,156.2735,100.662
770,161.0757,101.711
780,162.8667,100.662
790,162.068,104.857
800,162.7525,101.711
810,162.921,102.759
820,167.7854,102.759
830,168.4542,118.488
840,170.0133,120.585
850,194.3191,119.536
860,194.7413,121.634
870,195.9966,117.44
880,198.0728,121.633
890,195.6585,119.537
900,195.7661,119.536
910,197.6973,125.828
920,196.9007,123.731
930,199.1532,123.731
940,200.501,123.731
950,204.0068,126.876
960,198.5564,128.974
970,202.0269,124.779
980,205.5372,126.876
990,202.4622,126.877
1000,206.577,127.925
1010,206.5324,130.022
1020,209.839,132.119
1030,208.492,132.119
1040,209.0141,133.168
1050,210.1944,131.071
1060,213.3582,130.022
1070,212.2178,130.022
1080,212.5333,130.022
1090,210.9724,149.945
1100,221.627,148.896
1110,241.3291,147.848
1120,245.5855,147.848
1130,245.5864,150.994
1140,243.848,148.896
1150,238.5079,146.799
1160,244.328,149.945
1170,244.2133,150.994
1180,249.4959,153.091
1190,246.5433,154.139
1200,250.7145,154.139
1210,247.9061,155.188
1220,245.7559,154.139
1230,246.1101,155.188
