mtu,baseline,firewall
80,84.06,71.1
90,98.72,101.96
100,98.66,124
110,117.54,118.56
120,108.64,99.24
130,106.26,95.04
140,156.8,88.48
150,147.6,63.3
160,241.8,57.72
170,335,72.88
180,391.2,75.3
190,439.8,71.44
200,448.4,64.88
210,482.6,59.48
220,485.8,58.84
230,533.4,65.92
240,547.8,102.26
250,560,109.7
260,583.2,121.42
270,578.4,152.4
280,613.8,161.44
290,616.2,126.08
300,647.8,168.8
310,664,142.92
320,673.6,119.12
330,690.2,89.68
340,690.2,139.8
350,734.4,196.6
360,734.8,182.4
370,754.6,196.4
380,759.8,202.76
390,771,205.6
400,787.8,171
410,788.6,231.18
420,814.8,157.6
430,821.4,211.6
440,823.6,174.54
450,827,132.48
460,831.8,130.6
470,838,142.24
480,838,141.8
490,847,116.6
500,847.8,192.6
510,851.2,162.6
520,853.8,131.36
530,837.6,150
540,847.4,129.74
550,847.6,143.84
560,858.8,148.68
570,860,116
580,848.2,148.2
590,861.6,172.6
600,844.6,155.2
610,834.4,170
620,851.8,172.48
630,856.8,421
640,802.8,426.2
650,871.4,419.2
660,883,424.6
670,883.4,416.8
680,887.2,401.2
690,879.6,390.4
700,891,389.6
710,886.2,393.6
720,890.2,387.6
730,829.8,394.8
740,891.8,414.6
750,793.8,426.4
760,729.8,419.8
770,882.2,421.2
780,902,424
790,903,413.6
800,892.6,396.6
810,903,390
820,905.4,398.6
830,906.6,386.2
840,909.2,398.2
850,909.8,393.6
860,911,404
870,911.8,392.2
880,912.6,378.6
890,799,390.8
900,910.2,387.8
910,881.4,404.8
920,805.6,399.6
930,903.6,392.8
940,917.6,392
950,919,406.2
960,912.2,404
970,919.8,393.6
980,922,390.2
990,914,386.6
1000,878.6,399.4
1010,742.8,400.8
1020,922.4,401.2
1030,923.6,419
1040,923.6,416
1050,924,414.6
1060,925.2,420.4
1070,802.6,417.6
1080,865,425.6
1090,929,405.4
1100,864,406.4
1110,929.4,402.2
1120,931.2,406.6
1130,928,408.6
1140,929,405
1150,932.8,392.6
1160,927.2,385.2
1170,935,392.4
1180,901.4,382.4
1190,806.6,398.8
1200,936.6,399.2
1210,936.6,406.6
1220,933.4,408.4
1230,870.2,413
1240,938.4,392
1250,938.2,403.8
1260,927.8,400.6
1270,939.6,400.4
1280,940,380.2
1290,939.8,383
1300,940.8,398.6
1310,941.6,395.4
1320,942,395.4
1330,942.4,390
1340,943,375.6
1350,937,394.2
1360,943,398.2
1370,941.6,385
1380,944.6,407.2
1390,944.2,426.4
1400,932.4,414.2
1410,945.8,401.4
1420,945.6,417.4
1430,946.6,415.2
1440,946.6,416
1450,947.2,407.4
1460,947.8,404.6
1470,948,410.6
1480,948,406.4
1490,948,401.2
1500,881,399.8
